1.000234    0.000836 0
     0.993305    0.003131 0
     0.982410    0.006045 0
     0.970976    0.008887 0
     0.958566    0.011923 0
     0.944989    0.015289 0
     0.930134    0.018988 0
     0.914020    0.022906 0
     0.896882    0.026931 0
     0.879147    0.030944 0
     0.861073    0.034831 0
     0.842726    0.038582 0
     0.824207    0.042184 0
     0.805603    0.045611 0
     0.786941    0.048856 0
     0.768260    0.051919 0
     0.749497    0.054821 0
     0.730590    0.057579 0
     0.711436    0.060218 0
     0.691915    0.062760 0
     0.671925    0.065222 0
     0.651373    0.067608 0
     0.630151    0.069896 0
     0.608268    0.072043 0
     0.585767    0.074047 0
     0.562846    0.075927 0
     0.539756    0.077694 0
     0.516683    0.079318 0
     0.493685    0.080720 0
     0.470833    0.081892 0
     0.448197    0.082777 0
     0.425806    0.083520 0
     0.403694    0.084110 0
     0.381892    0.084539 0
     0.360419    0.084777 0
     0.339302    0.084844 0
     0.318594    0.084698 0
     0.298293    0.084353 0
     0.278475    0.083783 0
     0.259149    0.083006 0
     0.240419    0.082011 0
     0.222334    0.080824 0
     0.205029    0.079449 0
     0.188556    0.077910 0
     0.173035    0.076229 0
     0.158501    0.074434 0
     0.144990    0.072541 0
     0.132484    0.070572 0
     0.120970    0.068561 0
     0.110381    0.066521 0
     0.100674    0.064471 0
     0.091772    0.062412 0
     0.083596    0.060360 0
     0.076086    0.058328 0
     0.069173    0.056301 0
     0.062794    0.054300 0
     0.056901    0.052308 0
     0.051442    0.050329 0
     0.046377    0.048352 0
     0.041666    0.046379 0
     0.037276    0.044409 0
     0.033186    0.042423 0
     0.029368    0.040424 0
     0.025802    0.038412 0
     0.022478    0.036366 0
     0.019383    0.034285 0
     0.016511    0.032157 0
     0.013860    0.029969 0
     0.011424    0.027726 0
     0.009215    0.025408 0
     0.007239    0.023013 0
     0.005514    0.020535 0
     0.004036    0.017986 0
     0.002794    0.015385 0
     0.001802    0.012738 0
     0.001050    0.010064 0
     0.000502    0.007383 0
     0.000167    0.004706 0
     0.000008    0.002047 0
     0.000007   -0.000597 0
     0.000116   -0.003262 0
     0.000345   -0.005954 0
     0.000748   -0.008660 0
     0.001335   -0.011371 0
     0.002173   -0.014059 0
     0.003273   -0.016705 0
     0.004633   -0.019296 0
     0.006236   -0.021824 0
     0.008097   -0.024270 0
     0.010184   -0.026644 0
     0.012514   -0.028924 0
     0.015128   -0.031056 0
     0.017968   -0.033097 0
     0.021019   -0.035087 0
     0.024294   -0.037048 0
     0.027812   -0.038998 0
     0.031597   -0.040958 0
     0.035669   -0.042939 0
     0.040058   -0.044949 0
     0.044797   -0.046996 0
     0.049923   -0.049089 0
     0.055486   -0.051244 0
     0.061541   -0.053476 0
     0.068153   -0.055795 0
     0.075397   -0.058206 0
     0.083352   -0.060710 0
     0.092107   -0.063314 0
     0.101742   -0.066021 0
     0.112334   -0.068814 0
     0.123914   -0.071661 0
     0.136471   -0.074546 0
     0.149945   -0.077426 0
     0.164250   -0.080212 0
     0.179271   -0.082853 0
     0.194889   -0.085337 0
     0.210977   -0.087641 0
     0.227456   -0.089747 0
     0.244290   -0.091646 0
     0.261585   -0.093340 0
     0.279412   -0.094804 0
     0.297752   -0.096011 0
     0.316553   -0.096939 0
     0.335752   -0.097592 0
     0.355274   -0.097986 0
     0.375072   -0.098139 0
     0.395045   -0.098049 0
     0.415181   -0.097705 0
     0.435457   -0.097125 0
     0.455853   -0.096310 0
     0.476344   -0.095254 0
     0.496902   -0.093993 0
     0.517437   -0.092521 0
     0.537873   -0.090859 0
     0.558130   -0.088995 0
     0.578141   -0.086919 0
     0.597914   -0.084615 0
     0.617474   -0.082044 0
     0.636921   -0.079182 0
     0.656353   -0.076087 0
     0.675888   -0.072723 0
     0.695559   -0.069085 0
     0.715452   -0.065165 0
     0.735616   -0.060960 0
     0.756079   -0.056512 0
     0.776835   -0.051868 0
     0.797757   -0.047037 0
     0.818714   -0.042098 0
     0.839365   -0.037174 0
     0.859210   -0.032424 0
     0.877769   -0.027989 0
     0.894849   -0.023930 0
     0.910561   -0.020220 0
     0.925025   -0.016864 0
     0.938268   -0.013844 0
     0.950382   -0.011088 0
     0.961616   -0.008496 0
     0.972536   -0.005979 0
     0.983251   -0.003515 0
     0.993545   -0.000956 0
     1.000234    0.000836 0
